Anderson,01/01/2013,Mr. W. Carson Wages,903-723-2949,903-723-5990,ndcadcarson@embarqmail.com,http://www.andersoncad.net,"P.O. Box 279, Palestine, TX 75802-0279","801 N. Perry St., Palestine, TX 75802-0279",26 Feb 15, 10:43:52 PM
Andrews,08/27/2013,Ms. Jackie Martin,432-523-9111,432-523-3222,jsmartin@suddenlinkmail.com,http://www.andrewscad.org/,"600 N. Main St., Andrews, TX 79714-5207","600 N. Main St., Andrews, TX 79714-5207",26 Feb 15, 10:43:52 PM
Angelina,01/01/2013,Mr. Tim Chambers,936-634-8456,936-634-8758,cad@angelinacad.org,http://www.angelinacad.org/,"P.O. Box 2357, Lufkin, TX 75902-2357","418 N. Second St., Lufkin, TX 75902-2357",26 Feb 15, 10:43:52 PM
Aransas,11/18/2013,Mr. Kevin Jamison,361-729-9733,361-729-9750,kevinj@aransascad.org,http://www.aransascad.org/,"601 S. Church St., Rockport, TX 78382-2513","601 S. Church St., Rockport, TX 78382-2513",26 Feb 15, 10:43:52 PM
Archer,01/01/2013,Ms. Kimbra York,940-574-2172,940-574-2509,rchcad@brazosnet.com,http://www.archercad.org/,"P.O. Box 1141, Archer City, TX 76351-1141","112 E. Walnut, Archer City, TX 76351-1141",26 Feb 15, 10:43:52 PM
Armstrong,01/01/2013,Mr. Joe D. Reck,806-226-4481,806-226-2654,rmstrongcad@amaonline.com,not listed,"P.O. Box 835, Claude, TX 79019-0835","County Courthouse, Claude, TX 79019-0835",26 Feb 15, 10:43:52 PM
Atascosa,01/01/2013,Ms. Michelle L. Cardenas,830-742-3591,830-742-3044,chelle.cardenas@atascosacad.com,http://www.trueautomation.com/,"P.O. Box 139, Poteet, TX 78065-0139","274 S. 4th St., Poteet, TX 78065-0139",26 Feb 15, 10:43:52 PM
Austin,01/01/2013,Ms. Carmen Ottmer,979-865-9124,979-865-3296,cottmer@austincad.org,http://www.austincad.org/,"906 E. Amelia St., Bellville, TX 77418-2843","906 E. Amelia St., Bellville, TX 77418-2843",26 Feb 15, 10:43:53 PM
Bailey,01/01/2013,Ms. Kaye Elliott,806-272-5501,806-272-3643,baileyca@fivearea.com,http://www.trueautomation.com/,"302 Main St., Muleshoe, TX 79347-3852","302 Main St., Muleshoe, TX 79347-3852",26 Feb 15, 10:43:53 PM
Bandera,01/01/2013,Ms. Wendy Grams,830-796-3039,830-460-3672,bancad@indian-creek.net,http://www.banderaproptax.org/,"P.O. Box 1119, Bandera, TX 78003-1119","1206 Main St., Bandera, TX 78003-1119",26 Feb 15, 10:43:53 PM
Bastrop,01/26/2015,Mr. Mark Boehnke,512-303-1930,512-303-4805,rkb@bastropcad.org,http://www.bastropcad.org/,"P.O. Box 578, Bastrop, TX 78602-0578","212 Jackson St., Bastrop, TX 78602-0578",26 Feb 15, 10:43:53 PM
Baylor,01/01/2013,Mr. Ronnie Hargrove,940-888-5636,940-888-5566,baylorcad@windstream.net,http://www.baylorcad.org,"211 N. Washington St., Seymour, TX 76380-2123","211 N. Washington St., Seymour, TX 76380-2123",26 Feb 15, 10:43:53 PM
Bee,01/01/2013,Mr. Domingo Palomo,361-358-0193,361-362-0140,beecad@beecad.org,http://www.beecad.org/,"401 N. Washington St., Beeville, TX 78102-3911","401 N. Washington St., Beeville, TX 78102-3911",26 Feb 15, 10:43:53 PM
Bell,12/11/2013,Mr. Marvin Hahn,254-939-5841,254-939-3909,rvin.hahn@bellcad.org,http://www.bellcad.org/,"P.O. Box 390, Belton, TX 76513-0390","411 E. Central Ave., Belton, TX 76513-0390",26 Feb 15, 10:43:53 PM
Bexar,01/01/2013,Mr. Michael Amezquita,210-224-8511,210-242-2451,cs@bcad.org,http://www.bcad.org/,"P.O. Box 830248, San Antonio, TX 78283-0248","411 N. Frio St., San Antonio, TX 78283-0248",26 Feb 15, 10:43:53 PM
Blanco,01/01/2013,Mrs. Hollis Boatright,830-868-4013,830-868-7330,nfo@blancocad.com,http://www.blancocad.com/,"P.O. Box 338, Johnson City, TX 78636-0338","615 N. Nugent Ave., Johnson City, TX 78636-0338",26 Feb 15, 10:43:53 PM
